DATE,sp500,daily_return
2/11/2016,1829.08,-0.012301146
2/12/2016,1864.78,0.019518009
2/17/2016,1926.82,0.016480444
2/18/2016,1917.83,-0.004665719
2/19/2016,1917.78,-2.61E-05
2/22/2016,1945.5,0.014454213
2/23/2016,1921.27,-0.012454382
2/24/2016,1929.8,0.004439772
2/25/2016,1951.7,0.011348326
2/26/2016,1948.05,-0.001870164
2/29/2016,1932.23,-0.008120941
3/1/2016,1978.35,0.023868794
3/2/2016,1986.45,0.004094321
3/3/2016,1993.4,0.003498704
3/4/2016,1999.99,0.00330591
3/7/2016,2001.76,0.000885004
3/8/2016,1979.26,-0.011240109
3/9/2016,1989.26,0.005052393
3/10/2016,1989.57,0.000155837
3/11/2016,2022.19,0.016395503
3/14/2016,2019.64,-0.001261009
3/15/2016,2015.93,-0.001836961
3/16/2016,2027.22,0.005600393
3/17/2016,2040.59,0.006595239
3/18/2016,2049.58,0.004405589
3/21/2016,2051.6,0.000985568
3/22/2016,2049.8,-0.000877364
3/23/2016,2036.71,-0.006385989
3/24/2016,2035.94,-0.000378061
3/29/2016,2055.01,0.008816671
3/30/2016,2063.95,0.004350344
3/31/2016,2059.74,-0.002039778
4/1/2016,2072.78,0.006330896
4/4/2016,2066.13,-0.003208252
4/5/2016,2045.17,-0.01014457
4/6/2016,2066.66,0.010507684
4/7/2016,2041.91,-0.011975845
4/8/2016,2047.6,0.002786607
4/11/2016,2041.99,-0.002739793
4/12/2016,2061.72,0.009662143
4/13/2016,2082.42,0.010040161
4/14/2016,2082.78,0.000172876
4/15/2016,2080.73,-0.000984261
4/18/2016,2094.34,0.006540974
4/19/2016,2100.8,0.003084504
4/20/2016,2102.4,0.000761615
4/21/2016,2091.48,-0.005194064
4/22/2016,2091.58,4.78E-05
4/25/2016,2087.79,-0.001812027
4/26/2016,2091.7,0.001872794
4/27/2016,2095.15,0.001649376
4/28/2016,2075.81,-0.009230843
4/29/2016,2065.3,-0.005063084
5/2/2016,2081.43,0.007810003
5/3/2016,2063.37,-0.008676727
5/4/2016,2051.12,-0.00593689
5/5/2016,2050.63,-0.000238894
5/6/2016,2057.14,0.003174634
5/9/2016,2058.69,0.000753473
5/10/2016,2084.39,0.012483667
5/11/2016,2064.46,-0.00956155
5/12/2016,2064.11,-0.000169536
5/13/2016,2046.61,-0.00847823
5/16/2016,2066.66,0.009796688
5/17/2016,2047.21,-0.009411321
5/18/2016,2047.63,0.000205157
5/19/2016,2040.04,-0.003706724
5/20/2016,2052.32,0.00601949
5/23/2016,2048.04,-0.002085445
5/24/2016,2076.06,0.013681373
5/25/2016,2090.54,0.00697475
5/26/2016,2090.1,-0.000210472
5/27/2016,2099.06,0.004286876
6/1/2016,2099.33,0.001130208
6/2/2016,2105.26,0.002824711
6/3/2016,2099.13,-0.002911754
6/6/2016,2109.41,0.004897267
6/7/2016,2112.13,0.00128946
6/8/2016,2119.12,0.003309455
6/9/2016,2115.48,-0.001717694
6/10/2016,2096.07,-0.009175223
6/13/2016,2079.06,-0.008115187
6/14/2016,2075.32,-0.00179889
6/15/2016,2071.5,-0.00184068
6/16/2016,2077.99,0.003132995
6/17/2016,2071.22,-0.003257956
6/20/2016,2083.25,0.005808171
6/21/2016,2088.9,0.002712108
6/22/2016,2085.45,-0.001651587
6/23/2016,2113.32,0.013364022
6/24/2016,2037.41,-0.035919785
6/27/2016,2000.54,-0.018096505
6/28/2016,2036.09,0.017770202
6/29/2016,2070.77,0.017032646
6/30/2016,2098.86,0.013565002
7/1/2016,2102.95,0.001948677
7/6/2016,2099.73,0.005352996
7/7/2016,2097.9,-0.000871541
7/8/2016,2129.9,0.015253349
7/11/2016,2137.16,0.003408611
7/12/2016,2152.14,0.007009302
7/13/2016,2152.43,0.00013475
7/14/2016,2163.75,0.005259172
7/15/2016,2161.74,-0.000928943
7/18/2016,2166.89,0.00238234
7/19/2016,2163.78,-0.001435237
7/20/2016,2173.02,0.004270305
7/21/2016,2165.17,-0.003612484
7/22/2016,2175.03,0.004553915
7/25/2016,2168.48,-0.003011453
7/26/2016,2169.18,0.000322807
7/27/2016,2166.58,-0.00119861
7/28/2016,2170.06,0.001606218
7/29/2016,2173.6,0.001631291
8/1/2016,2170.84,-0.001269783
